,0,1,2,3,4
91,15.0,0.1,0.01,0.9,3.838594801340347
92,15.0,0.1,0.1,0.75,3.8843217713461575
93,15.0,0.1,0.1,0.8,3.8619983512763816
94,15.0,0.1,0.1,0.85,3.8729633816252518
95,15.0,0.1,0.1,0.9,3.846071486828657
96,20.0,0.1,0.0,0.75,3.886200440754356
97,20.0,0.1,0.0,0.8,3.867806752259515
98,20.0,0.1,0.0,0.85,3.8918014750005643
99,20.0,0.1,0.0,0.9,3.871401897083485
100,20.0,0.1,0.001,0.75,3.8966359744685497
101,20.0,0.1,0.001,0.8,3.9074721143782893
102,20.0,0.1,0.001,0.85,3.889583656279939
103,20.0,0.1,0.001,0.9,3.8700335834317494
104,20.0,0.1,0.01,0.75,3.8899596729947215
105,20.0,0.1,0.01,0.8,3.8813384224123304
106,20.0,0.1,0.01,0.85,3.8781413282775743
107,20.0,0.1,0.01,0.9,3.849204686576923
108,20.0,0.1,0.1,0.75,3.870546423649766
109,20.0,0.1,0.1,0.8,3.893677187339749
110,20.0,0.1,0.1,0.85,3.8497190132588472
111,20.0,0.1,0.1,0.9,3.874769954784089
112,25.0,0.1,0.0,0.75,3.8569954021048756
113,25.0,0.1,0.0,0.8,3.8733930838979522
114,25.0,0.1,0.0,0.85,3.8936762518492554
115,25.0,0.1,0.0,0.9,3.8612452164388635
116,25.0,0.1,0.001,0.75,3.8885207918038667
117,25.0,0.1,0.001,0.8,3.85166549437925
118,25.0,0.1,0.001,0.85,3.8699653711891346
119,25.0,0.1,0.001,0.9,3.8588060088063325
120,25.0,0.1,0.01,0.75,3.8775546923072612
121,25.0,0.1,0.01,0.8,3.8691094484221207
122,25.0,0.1,0.01,0.85,3.8702643775023926
123,25.0,0.1,0.01,0.9,3.8470785775779306
124,25.0,0.1,0.1,0.75,3.8905867740784483
125,25.0,0.1,0.1,0.8,3.8576008759096916
126,25.0,0.1,0.1,0.85,3.886467067396153
127,25.0,0.1,0.1,0.9,3.865312130156444
