,0,1,2,3,4,5,6
93,5.0,5.0,25.0,0.75,0.75,3.7825474597371618,0.37779404092989954
94,5.0,5.0,25.0,0.75,0.8,3.7757115398982233,0.38002641850904023
95,5.0,5.0,25.0,0.75,0.85,3.7807591793323567,0.3772595151183111
96,5.0,5.0,25.0,0.8,0.75,3.777714357773347,0.3778746017122938
97,5.0,5.0,25.0,0.8,0.8,3.7795401370180297,0.3775724619496685
98,5.0,5.0,25.0,0.8,0.85,3.7820911891135776,0.3758147026635645
99,5.0,5.0,50.0,0.7,0.75,3.778570034259998,0.3771385094171403
100,5.0,5.0,50.0,0.7,0.8,3.774847671079945,0.37858720420111924
101,5.0,5.0,50.0,0.7,0.85,3.775760161788561,0.3775711823427877
102,5.0,5.0,50.0,0.75,0.75,3.7722460961335784,0.38024175146172234
103,5.0,5.0,50.0,0.75,0.8,3.776556830078071,0.37850898830813734
104,5.0,5.0,50.0,0.75,0.85,3.7755028449254144,0.3792079000351372
105,5.0,5.0,50.0,0.8,0.75,3.778167881695985,0.37528927120001987
106,5.0,5.0,50.0,0.8,0.8,3.7788414463658,0.37727169982357545
107,5.0,5.0,50.0,0.8,0.85,3.7783564631334956,0.3771449041450795
108,5.0,10.0,5.0,0.7,0.75,3.7785443648475843,0.37873078727089177
109,5.0,10.0,5.0,0.7,0.8,3.7842168800701708,0.3753271739632423
110,5.0,10.0,5.0,0.7,0.85,3.779605587135767,0.37804909862880376
111,5.0,10.0,5.0,0.75,0.75,3.777046420855905,0.37824554083329404
112,5.0,10.0,5.0,0.75,0.8,3.7824152761382397,0.375609785067976
113,5.0,10.0,5.0,0.75,0.85,3.7813022317213463,0.37630800144853027
114,5.0,10.0,5.0,0.8,0.75,3.776703783917751,0.379514128672206
115,5.0,10.0,5.0,0.8,0.8,3.7819617414022035,0.3786698920302295
116,5.0,10.0,5.0,0.8,0.85,3.7775538345605035,0.3765437995495109
117,5.0,10.0,10.0,0.7,0.75,3.782376052688107,0.37657915809752784
118,5.0,10.0,10.0,0.7,0.8,3.7805042983159565,0.37603948646798985
119,5.0,10.0,10.0,0.7,0.85,3.782608646450143,0.3751750473671039
120,5.0,10.0,10.0,0.75,0.75,3.7802164558276816,0.3776620294649431
121,5.0,10.0,10.0,0.75,0.8,3.779692739896097,0.37658302112382613
122,5.0,10.0,10.0,0.75,0.85,3.77949997059109,0.3775413004689335
123,5.0,10.0,10.0,0.8,0.75,3.780185896844112,0.3774713163520389
124,5.0,10.0,10.0,0.8,0.8,3.7809685750955424,0.3749692060998368
125,5.0,10.0,10.0,0.8,0.85,3.7792031553280347,0.37719779404344095
126,5.0,10.0,25.0,0.7,0.75,3.78017367806998,0.37601795213357664
127,5.0,10.0,25.0,0.7,0.8,3.7763149879930316,0.37736058249818827
128,5.0,10.0,25.0,0.7,0.85,3.782897342144806,0.37405712280870324
129,5.0,10.0,25.0,0.75,0.75,3.7775572221255262,0.3758158461554118
130,5.0,10.0,25.0,0.75,0.8,3.7759361481456395,0.3782509158801213
131,5.0,10.0,25.0,0.75,0.85,3.7794557935690047,0.37695780292677117
132,5.0,10.0,25.0,0.8,0.75,3.774345358014994,0.3808455298668031
133,5.0,10.0,25.0,0.8,0.8,3.7724060803584836,0.38007746704343826
134,5.0,10.0,25.0,0.8,0.85,3.774165426484571,0.3791371134383651
